"","confidence_level","Ln","Un","length"
"1","90%",82470673.2013658,88777583.0254585,6306909.82409266
"2","95%",81866554.8234795,89381701.4033448,7515146.57986534
"3","99%",80685839.7230198,90562416.5038045,9876576.78078464
