"","confidence_level","Ln","Un","length"
"1","90%",719289.389233238,781203.084840836,61913.6956075972
"2","95%",713358.877714503,787133.596359572,73774.718645069
"3","99%",701768.029364349,798724.444709725,96956.4153453764
