"","confidence_level","Ln","Un","length"
"1","90%",896990.174182571,982468.581372985,85478.4071904137
"2","95%",888802.475589051,990656.279966505,101853.804377454
"3","99%",872800.083142053,1006658.6724135,133858.58927145
