"","confidence_level","Ln","Un","length"
"1","90%",1022215.06331004,1111142.53668996,88927.4733799133
"2","95%",1013696.98988483,1119660.61011517,105963.620230334
"3","99%",997048.898570083,1136308.70142992,139259.802859834
