"","confidence_level","Ln","Un","length"
"1","90%",102346809.121411,128706573.313769,26359764.1923576
"2","95%",99821893.048484,131231489.386696,31409596.3382118
"3","99%",94887087.8119196,136166294.62326,41279206.8113407
