"","confidence_level","Ln","Un","length"
"1","90%",1019807.72911046,1107297.75237102,87490.0232605683
"2","95%",1011427.34435666,1115678.13712482,104250.792768167
"3","99%",995048.357739676,1132057.1237418,137008.766002128
